OGC_FID,dossiernr,voorwerp_van_aanvraag,klasse,naam_inrichting,straat_inrichting,huisnr_inrichting,huisnr_tot_inrichting,bus_inrichting,district_inrichting,postnr_inrichting,gemeente_inrichting,kadastergegevens,adres_nr
1,19641,de exploitatie van een nieuwe inrichting,1,Anthonis Antoine,Florastraat,126,,,BO,2140,Antwerpen,11312_A_0017_S_016_00,Florastraat  126
2,19661,de exploitatie van een nieuwe inrichting,0,BP Belgium,Laarsebaan,1,,,ME,2170,Antwerpen,11028_A_0141_F_014_00,Laarsebaan  1
3,19662,de exploitatie van een nieuwe inrichting,2,Van Assche Gustaaf,Dichtersstraat,6,,,WI,2610,Antwerpen,11462_A_0050_H_005_00,Dichtersstraat  6
4,19663,de exploitatie van een nieuwe inrichting,1,Reynders Joseph,Berendrechtstraat,37,,,AN,2020,Antwerpen,11809_I_2411_R_007_00,Berendrechtstraat  37
5,19664,de exploitatie van een nieuwe inrichting,2,Nooyens,Leugenberg,160,,,EK,2180,Antwerpen,11014_H_0288_L_000_00,Leugenberg  160
6,19665,de exploitatie van een nieuwe inrichting,1,Akbar,Statielei,77,,,BO,2140,Antwerpen,11312_A_0071_G_007_00,Statielei  77
7,19671,de exploitatie van een nieuwe inrichting,1,A. Freyman & Van Loon,Bremenstraat,3,,,AN,2030,Antwerpen,11807_G_1543_F_002_00,Bremenstraat  3
8,19672,de exploitatie van een nieuwe inrichting,1,Elf België,Antwerpsesteenweg,135,,,HO,2660,Antwerpen,11383_B_0265_G_012_00,Antwerpsesteenweg  135
9,19673,de exploitatie van een nieuwe inrichting,1,Scheepvaart en Konstruktiebedrijf Longueville,Royerssluis,,,,AN,2030,Antwerpen,11807_G_1338_C_000_22,
10,19701,de exploitatie van een nieuwe inrichting,1,Inwes,Guldenvliesstraat,58,,,BE,2600,Antwerpen,11302_D_1290_E_019_00,Guldenvliesstraat  58
11,19711,de exploitatie van een nieuwe inrichting,1,Tyteca,Haïfastraat,11,,,AN,2030,Antwerpen,11807_G_1682_P_000_00,Haïfastraat  11
12,19712,de exploitatie van een nieuwe inrichting,2,Wouters J.H.,Lamorinièrestraat,69,71,,AN,2018,Antwerpen,11806_F_1230_Z_009_00,Lamorinièrestraat  69
13,19712,de exploitatie van een nieuwe inrichting,2,Wouters J.H.,Lamorinièrestraat,69,71,,AN,2018,Antwerpen,11806_F_1252_Z_005_00,Lamorinièrestraat  69
14,19713,de exploitatie van een nieuwe inrichting,1,Aral,'s-Herenstraat,42,,,BO,2140,Antwerpen,11006_A_0316_V_000_00,'s-Herenstraat  42
15,19721,"het veranderen van een inrichting, met precisering dat het betreft",1,BP Belgium,Laarsebaan,1,,,ME,2170,Antwerpen,11028_A_0141_F_014_00,Laarsebaan  1
16,19722,de exploitatie van een nieuwe inrichting,0,Brijsbaert G.,Provinciestraat,279,,,AN,2018,Antwerpen,11806_F_1222_M_006_00,Provinciestraat  279
17,19731,de exploitatie van een nieuwe inrichting,1,,Van Schoonbekeplein,6,,,AN,2000,Antwerpen,11002_A_0127_B_000_00,Van Schoonbekeplein  6
18,19731,de exploitatie van een nieuwe inrichting,1,,Van Schoonbekeplein,6,,,AN,2000,Antwerpen,11002_A_0130_C_000_00,Van Schoonbekeplein  6
19,19732,de exploitatie van een nieuwe inrichting,1,Kranen Michielsens,Tweemontstraat,100,102,,DE,2100,Antwerpen,11012_A_0126_B_003_00,Tweemontstraat  100
20,19732,de exploitatie van een nieuwe inrichting,1,Kranen Michielsens,Tweemontstraat,100,102,,DE,2100,Antwerpen,11012_A_0126_Y_002_00,Tweemontstraat  100
21,19741,de exploitatie van een nieuwe inrichting,2,,Churchilldok,,,,AN,2030,Antwerpen,,
22,19742,de exploitatie van een nieuwe inrichting,1,Etn John Lins,Tunnelplaats,3,7,,AN,2000,Antwerpen,11802_B_0316_S_000_00,Tunnelplaats  3
23,19743,"het veranderen van een inrichting, met precisering dat het betreft",1,Etn John Lins,Tunnelplaats,3,7,,AN,2000,Antwerpen,11802_B_0316_S_000_00,Tunnelplaats  3
24,19761,de exploitatie van een nieuwe inrichting,1,Belgian Pakhoed,Luithagen-Haven,9,,,AN,2030,Antwerpen,,Luithagen-Haven  9
25,19762,de exploitatie van een nieuwe inrichting,1,Stevedoring Company Gylsen,Zesde Havendok,,,,AN,2030,Antwerpen,11815_A_0261_R_000_00,
26,19762,de exploitatie van een nieuwe inrichting,1,Stevedoring Company Gylsen,Zesde Havendok,,,,AN,2030,Antwerpen,11815_A_0261_B_003_00,
27,19762,de exploitatie van een nieuwe inrichting,1,Stevedoring Company Gylsen,Zesde Havendok,,,,AN,2030,Antwerpen,11815_A_0261_E_003_00,
28,19762,de exploitatie van een nieuwe inrichting,1,Stevedoring Company Gylsen,Zesde Havendok,,,,AN,2030,Antwerpen,11815_A_0261_G_000_00,
29,19762,de exploitatie van een nieuwe inrichting,1,Stevedoring Company Gylsen,Zesde Havendok,,,,AN,2030,Antwerpen,11815_A_0261_F_002_00,
30,19762,de exploitatie van een nieuwe inrichting,1,Stevedoring Company Gylsen,Zesde Havendok,,,,AN,2030,Antwerpen,11815_A_0265_C_000_00,
31,19763,de exploitatie van een nieuwe inrichting,1,,Scheldelaan,420,,,AN,2040,Antwerpen,11816_F_0241_E_002_00,Scheldelaan  420
32,19764,de exploitatie van een nieuwe inrichting,2,Hessenatie,Bellestraat,24,34,,AN,2030,Antwerpen,11816_A_0210_A_000_05,Bellestraat  24
